name,gender,age,class,embarked,country,ticketno,fare,survived,pclass,crew
"Angle, Mrs. Florence Agnes",female,36,2nd,S,England,226875,26,1,2,
"Angle, Mr. William",male,31,2nd,S,England,226875,26,0,2,
"Appleton, Mrs. Charlotte",female,53,1st,S,United States,11769,51.0907,1,1,
"Arnold-Franchi, Mr. Josef",male,25,3rd,S,Switzerland,349237,17.16,0,3,
"Arnold-Franchi, Mrs. Josefine",female,18,3rd,S,Switzerland,349237,17.16,0,3,
"Aronsson, Mr. Ernst Axel Algot",male,25,3rd,S,Sweden,349911,7.1506,0,3,
"Artagaveytia, Mr. Ramon",male,71,1st,C,Argentina,17609,49.1001,0,1,
"Ashby, Mr. John",male,57,2nd,S,England,244346,13,0,2,
"Asim, Mr. Adola",male,35,3rd,S,Argentina,3101310,7.01,0,3,
"Asplund, Master. Carl Edgar",male,5,3rd,S,Sweden,347077,31.0709,0,3,
"Asplund, Master. Clarence Gustaf Hugo",male,9,3rd,S,Sweden,347077,31.0709,0,3,
"Asplund, Master. Edvin Rojj Felix",male,3,3rd,S,Sweden,347077,31.0709,1,3,
"Asplund, Master. Filip Oscar",male,13,3rd,S,Sweden,347077,31.0709,0,3,
"Asplund, Miss. Lillian Gertrud",female,5,3rd,S,Sweden,347077,31.0709,1,3,
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",male,40,3rd,S,Sweden,347077,31.0709,0,3,
"Asplund, Mr. Johan Charles",male,13,3rd,S,Sweden,350054,7.1511,1,3,
"Asplund, Mrs. Selma Augusta Emilia",female,38,3rd,S,Sweden,347077,31.0709,1,3,
"Assaf, Mrs. Mariana",female,45,3rd,C,Lebanon,2696,7.0406,1,3,
"Assam, Mr. Ali",male,23,3rd,S,Argentina,3101309,7.01,0,3,
"Astor, Colonel. John Jacob",male,47,1st,C,United States,17757,247.1006,0,1,
"Astor, Mrs. Madeleine Talmage",female,18,1st,C,United States,17757,247.1006,1,1,
"Attalah, Miss. Malake",female,17,3rd,C,Lebanon,2627,14.0902,0,3,
"Attala, Mr. Sleiman",male,27,3rd,C,Canada,2694,7.0406,0,3,
"Aubart, Mme. Léontine Pauline",female,24,1st,C,France,17477,69.06,1,1,
"Augustsson, Mr. Albert",male,23,3rd,S,Sweden,347468,7.1701,0,3,
"Ayoub Daher, Miss. Banoura",female,15,3rd,C,Lebanon,2687,7.0407,1,3,
"Backström, Mr. Karl Alfred",male,32,3rd,S,Finland,3101278,15.17,0,3,
"Backström, Mrs. Maria Mathilda",female,33,3rd,S,Finland,3101278,15.17,1,3,
"Baclini, Miss. Eugenie",female,3,3rd,C,Lebanon,2666,19.0502,1,3,
"Baclini, Miss. Helene Barbara",female,0.75,3rd,C,Lebanon,2666,19.0502,1,3,
"Baclini, Miss. Marie Catherine",female,5,3rd,C,Lebanon,2666,19.0502,1,3,
"Baclini, Mrs. Latifa",female,23,3rd,C,Lebanon,2666,19.0502,1,3,
"Badman, Miss. Emily Louisa",female,18,3rd,S,England,31416,8.01,1,3,
"Badt, Mr. Mohamed",male,40,3rd,C,Lebanon,2623,7.0406,0,3,
"Bailey, Mr. Percy",male,18,2nd,S,England,29108,11.1,0,2,
"Bainbrigge, Mr. Charles Robert",male,22,2nd,S,Channel Islands,31030,10.1,0,2,
"Balkic, Mr. Cerin",male,26,3rd,S,Bosnia,349248,7.1711,0,3,
"Balls, Mrs. Ada E.",female,36,2nd,S,England,28551,13,1,2,
"Banfield, Mr. Frederick James",male,28,2nd,S,England,34068,10.1,0,2,
"Banski, Mrs. Mara",female,31,3rd,S,Hungary,349244,8.1308,1,3,
"Barbara, Miss. Saiide",female,18,3rd,C,Lebanon,2691,14.0901,0,3,
"Barbara, Mrs. Catherine David",female,45,3rd,C,Lebanon,2691,14.0901,0,3,
"Barber, Miss. Ellen Mary",female,27,1st,S,,19877,78.17,1,1,
"Barkworth, Mr. Algernon Henry",male,47,1st,S,England,27042,30,1,1,
"Barry, Miss. Julia",female,33,3rd,Q,Ireland,330844,7.1707,0,3,
"Barton, Mr. David John",male,22,3rd,S,England,324669,8.01,0,3,
"Bassani, Mrs. Albina",female,32,1st,C,Italy,11813,76.051,1,1,
"Bateman, Revd. Robert James",male,52,2nd,S,England,1166,12.1006,0,2,
"Batoshev, Mr. Hristo Lalev",male,23,3rd,S,Bulgaria,349217,7.1711,0,3,
"Baumann, Mr. John D.",male,60,1st,C,United States,17318,25.1806,0,1,
"Baxter, Mr. Quigg Edmond",male,24,1st,C,Canada,17558,247.1005,0,1,
"Baxter, Mrs. Hélène",female,50,1st,C,Canada,17558,247.1005,1,1,
"Beane, Mr. Edward",male,32,2nd,S,England,2908,26,1,2,
"Beane, Mrs. Ethel",female,22,2nd,S,England,2908,26,1,2,
"Beattie, Mr. Thomson",male,36,1st,S,Canada,13050,75.041,0,1,
"Beauchamp, Mr. Henry James",male,44,2nd,S,England,244358,26,0,2,
"Beavan, Mr. William Thomas",male,20,3rd,S,England,323951,8.01,0,3,
"Becker, Master. Richard F.",male,1,2nd,S,India,230136,39,1,2,
"Becker, Miss. Marion Louise",female,4,2nd,S,India,230136,39,1,2,
"Becker, Miss. Ruth Elizabeth",female,12,2nd,S,India,230136,39,1,2,
"Becker, Mrs. Nellie E.",female,35,2nd,S,United States,230136,39,1,2,
"Beckwith, Mr. Richard Leonard",male,37,1st,S,United States,11751,52.1101,1,1,
"Beckwith, Mrs. Sallie",female,46,1st,S,United States,11751,52.1101,1,1,
"Beesley, Mr. Lawrence",male,34,2nd,S,England,248698,13,1,2,
"Behr, Mr. Karl Howell",male,26,1st,C,United States,111369,30,1,1,
"Bengtsson, Mr. Johan Viktor",male,26,3rd,S,Sweden,347068,7.1506,0,3,
"Bentham, Miss. Lillian W.",female,19,2nd,S,United States,28404,13,1,2,
"Berglund, Mr. Karl Ivar Sven",male,22,3rd,S,Finland,4348,9.07,0,3,
"Berriman, Mr. William John",male,23,2nd,S,England,28425,13,0,2,
"Bessette, Miss. Nellie Mayo",female,39,1st,C,United States,17760,63.0702,1,1,
"Bidois, Miss. Rosalie",female,46,1st,C,,17757,247.1006,1,1,
"Bing, Mr. Lee",male,32,3rd,S,,1601,56.0911,1,3,
"Bird, Miss. Ellen",female,31,1st,S,England,17483,221.1507,1,1,
"Birkeland, Mr. Hans Martin Monsen",male,21,3rd,S,Norway,312992,7.1506,0,3,
"Birnbaum, Mr. Jakob",male,24,1st,C,,13905,26,0,1,
"Bishop, Mr. Dickinson H.",male,25,1st,C,United States,11967,91.0107,1,1,
"Bishop, Mrs. Helen",female,19,1st,C,United States,11967,91.0107,1,1,
"Björklund, Mr. Ernst Herbert",male,18,3rd,S,Sweden,347090,7.15,0,3,
"Björnström-Steffansson, Mr. Mauritz Hokan",male,28,1st,S,Sweden,110564,26.11,1,1,
"Blackwell, Mr. Stephen Weart",male,45,1st,S,United States,113784,35.1,0,1,
"Blank, Mr. Henry",male,39,1st,C,United States,112277,31,1,1,
"Bonnell, Miss. Caroline",female,30,1st,S,United States,36928,164.1704,1,1,
"Bonnell, Miss. Elizabeth",female,61,1st,S,England,113783,26.11,1,1,
"Borebank, Mr. John James",male,41,1st,S,England,110489,26.11,0,1,
"Bostandyeff, Mr. Guentcho",male,26,3rd,S,,349224,7.1711,0,3,
"Botsford, Mr. William Hull",male,25,2nd,S,United States,237670,13,0,2,
"Bourke, Miss. Mary",female,40,3rd,Q,Ireland,364848,7.15,0,3,
"Bourke, Mr. John",male,42,3rd,Q,Ireland,364849,15.1,0,3,
"Bourke, Mrs. Catherine",female,32,3rd,Q,Ireland,364849,15.1,0,3,
"Bowen, Miss. Grace Scott",female,45,1st,C,United States,17608,262.0706,1,1,
"Bowen, Mr. David John 'Dai'",male,26,3rd,S,Wales,54636,16.02,0,3,
"Bowenur, Mr. Solomon",male,42,2nd,S,,211535,13,0,2,
"Bowerman, Miss. Elsie Edith",female,22,1st,S,England,113505,55,1,1,
"Bracken, Mr. James Hollen",male,30,2nd,S,United States,220367,13,0,2,
"Bradley, Miss. Bridget Delia",female,22,3rd,Q,Ireland,334914,7.1406,1,3,
"Brady, Mr. John Bertram",male,41,1st,S,United States,113054,30.1,0,1,
"Braf, Miss. Elin Ester Maria",female,20,3rd,S,Sweden,347471,7.1701,0,3,
"Brailey, Mr. William Theodore Ronald",male,24,2nd,S,England,250654,,0,2,
"Brandeis, Mr. Emil Franklin",male,48,1st,C,United States,17591,50.0911,0,1,
"Braund, Mr. Lewis Richard",male,29,3rd,S,England,3460,7,0,3,
"Braund, Mr. Owen Harris",male,23,3rd,S,England,21171,7.05,0,3,
"Brereton, Mr. George Andrew",male,37,1st,S,United States,111427,26.11,1,1,
"Brewe, Dr. Arthur Jackson",male,46,1st,C,United States,112379,39.12,0,1,
"Bricoux, Mr. Roger Marie",male,20,2nd,S,France,250654,,0,2,
"Brito, Mr. José Joaquim de",male,32,2nd,S,,244360,13,0,2,
"Brobäck, Mr. Karl Rudolf",male,22,3rd,S,Sweden,350045,7.1511,0,3,
"Brocklebank, Mr. William Alfred",male,40,3rd,S,England,364512,8.01,0,3,
"Brown, Miss. Amelia Mary",female,18,2nd,S,England,248733,13,1,2,
"Brown, Miss. Edith Eileen",female,15,2nd,S,South Africa,29750,39,1,2,
"Brown, Mrs. Caroline Lane",female,59,1st,S,United States,11769,51.0907,1,1,
"Brown, Mrs. Elizabeth Catherine",female,40,2nd,S,South Africa,29750,39,1,2,
"Brown, Mrs. Margaret",female,44,1st,C,United States,17610,27.1405,1,1,
"Brown, Mr. Thomas William Solomon",male,60,2nd,S,South Africa,29750,39,0,2,
"Bryhl, Miss. Dagmar Jenny Ingeborg",female,20,2nd,S,Sweden,236853,26,1,2,
"Bryhl, Mr. Kurt Arnold Gottfrid",male,25,2nd,S,Sweden,236853,26,0,2,
"Buckley, Miss. Katherine",female,22,3rd,Q,Ireland,329944,7.0508,0,3,
"Buckley, Mr. Daniel",male,21,3rd,Q,Ireland,330920,7.1517,1,3,
"Bucknell, Mrs. Emma Eliza",female,58,1st,C,India,11813,76.051,1,1,
"Būlus, Master. Akar",male,7,3rd,C,Lebanon,2678,15.0411,0,3,
"Būlus, Miss. Nūr al-'ayn",female,10,3rd,C,Lebanon,2678,15.0411,0,3,
"Būlus, Mrs. Sultānah",female,40,3rd,C,Lebanon,2678,15.0411,0,3,
"Burke, Mr. Jeremiah",male,19,3rd,Q,Ireland,365222,6.15,0,3,
"Burns, Miss. Elizabeth Margaret",female,41,1st,C,,16966,134.1,1,1,
"Burns, Miss. Mary Delia",female,17,3rd,Q,Ireland,330963,7.1707,0,3,
"Buss, Miss. Kate",female,36,2nd,S,England,27849,13,1,2,
"Butler, Mr. Reginald Fenton",male,26,2nd,S,England,234686,13,0,2,
"Butrus-Ka'wī, Mr. Tannūs",male,21,3rd,C,Lebanon,2648,7.0407,0,3,
"Butt, Major. Archibald Willingham",male,46,1st,S,United States,113050,26.11,0,1,
"Byles, Fr. Thomas Roussel Davids",male,42,2nd,S,England,244310,13,0,2,
"Byström, Mrs. Karolina",female,40,2nd,S,United States,236852,13,1,2,
"Cacic, Miss. Manda",female,21,3rd,S,Croatia (Modern),315087,8.1303,0,3,
"Cacic, Miss. Marija",female,30,3rd,S,Croatia (Modern),315084,8.1303,0,3,
"Cacic, Mr. Jego Grga",male,18,3rd,S,Croatia (Modern),315091,8.1303,0,3,
"Cacic, Mr. Luka",male,38,3rd,S,Croatia (Modern),315089,8.1303,0,3,
"Cairns, Mr. Alexander Milne",male,28,1st,S,Scotland,113798,31,0,1,
"Calderhead, Mr. Edward Pennington",male,42,1st,S,United States,17476,26.0509,1,1,
"Caldwell, Master. Alden Gates",male,0.833333333,2nd,S,Siam,248738,29,1,2,
"Caldwell, Mr. Albert Francis",male,26,2nd,S,Siam,248738,29,1,2,
"Caldwell, Mrs. Sylvia Mae",female,28,2nd,S,United States,248738,29,1,2,
"Calic, Mr. Jovo",male,17,3rd,S,Croatia (Modern),315093,8.1303,0,3,
"Calic, Mr. Petar",male,17,3rd,S,Croatia (Modern),315086,8.1303,0,3,
"Cameron, Miss. Clear Annie",female,35,2nd,S,England,13528,21,1,2,
"Campbell, Mr. William Henry",male,21,2nd,B,Northern Ireland,239853,,0,2,
"Canavan, Miss. Mary",female,22,3rd,Q,Ireland,364846,7.15,0,3,
"Canavan, Mr. Patrick",male,21,3rd,Q,Ireland,364858,7.15,0,3,
"Candee, Mrs. Helen Churchill",female,52,1st,C,United States,17606,27.0811,1,1,
"Cann, Mr. Ernest",male,29,3rd,S,England,2152,8.01,0,3,
"Caram, Mr. Joseph",male,28,3rd,C,Canada,2689,14.0902,0,3,
"Caram, Mrs. Maria Elias",female,18,3rd,C,Lebanon,2689,14.0902,0,3,
"Carbines, Mr. William",male,19,2nd,S,England,28424,13,0,2,
"Cardeza, Mrs. Charlotte Wardle",female,58,1st,C,United States,17755,512.0607,1,1,
"Cardeza, Mr. Thomas Drake Martinez",male,36,1st,C,United States,17755,512.0607,1,1,
"Carlsson, Mr. August Sigfrid",male,28,3rd,S,Sweden,350042,7.1511,0,3,
"Carlsson, Mr. Carl Robert",male,24,3rd,S,Sweden,350409,7.1701,0,3,
"Carlsson, Mr. Frans Olof",male,33,1st,S,United States,695,5,0,1,
"Carraú-Esteves, Mr. José Pedro",male,17,1st,S,Uruguay,113059,47.02,0,1,
"Carrau, Mr. Francisco Mauro Severiano",male,27,1st,S,Uruguay,113059,47.02,0,1,
"Carr, Miss. Jane",female,45,3rd,Q,Ireland,368364,7.15,0,3,
"Carter, Fr. Ernest Courtenay",male,54,2nd,S,England,244252,26,0,2,
"Carter, Master. William Thornton II",male,11,1st,S,United States,113760,120,1,1,
"Carter, Miss. Lucile Polk",female,13,1st,S,United States,113760,120,1,1,
"Carter, Mrs. Lilian",female,45,2nd,S,England,244252,26,0,2,
"Carter, Mrs. Lucile",female,36,1st,S,United States,113760,120,1,1,
"Carter, Mr. William Ernest",male,36,1st,S,United States,113760,120,1,1,
"Carver, Mr. Alfred John",male,28,3rd,S,England,370160,7.05,0,3,
"Case, Mr. Howard Brown",male,49,1st,S,United States,19924,26,0,1,
"Cassebeer, Mrs. Eleanor Genevieve",female,36,1st,C,United States,17770,27.1405,1,1,
"Cavendish, Mrs. Julia Florence",female,25,1st,S,United States,19877,78.17,1,1,
"Cavendish, Mr. Tyrell William",male,36,1st,S,England,19877,78.17,0,1,
"Celotti, Mr. Francesco",male,24,3rd,S,,343275,8.01,0,3,
"Chaffee, Mr. Herbert Fuller",male,46,1st,S,United States,5734,61.0306,0,1,
"Chaffee, Mrs. Carrie Constance",female,47,1st,S,United States,5734,61.0306,1,1,
"Chambers, Mr. Norman Campbell",male,27,1st,S,United States,113806,53.02,1,1,
"Chambers, Mrs. Bertha",female,32,1st,S,United States,113806,53.02,1,1,
"Chapman, Mr. Charles Henry",male,52,2nd,S,United States,248731,13.1,0,2,
"Chapman, Mr. John Henry",male,37,2nd,S,England,29037,26,0,2,
"Chapman, Mrs. Sara Elizabeth",female,29,2nd,S,England,29037,26,0,2,
"Charters, Mr. David",male,20,3rd,Q,Ireland,13032,7.1408,0,3,
"Chaudanson, Miss. Victorine",female,36,1st,C,,17608,262.0706,1,1,
"Cherry, Miss. Gladys",female,30,1st,S,England,110152,86.1,1,1,
"Chevré, Mr. Paul Romaine Marie Léonce",male,45,1st,C,Belgium,17594,29.14,1,1,
"Chibnall, Mrs. Edith Martha Bowerman",female,48,1st,S,England,113505,55,1,1,
"Chip, Mr. Chang",male,32,3rd,S,,1601,56.0911,1,3,
"Chisholm, Mr. Roderick Robert Crispin",male,43,1st,B,Scotland,112051,,0,1,
"Christmann, Mr. Emil",male,29,3rd,S,England,343276,8.01,0,3,
"Christy, Miss. Rachel Juli Cohen",female,25,2nd,S,England,237789,30,1,2,
"Christy, Mrs. Alice Frances",female,52,2nd,S,England,237789,30,1,2,
"Chronopoulos, Mr. Apostolos M.",male,26,3rd,C,,2680,14.0901,0,3,
"Chronopoulos, Mr. Dimitrios M.",male,21,3rd,C,,2680,14.0901,0,3,
"Clarke, Mr. Charles Valentine",male,29,2nd,S,England,2003,26,0,2,
"Clarke, Mr. John Frederick Preston",male,28,2nd,S,England,250654,,0,2,
"Clarke, Mrs. Ada Maria",female,28,2nd,S,England,2003,27,1,2,
"Clark, Mrs. Virginia Estelle",female,26,1st,C,United States,13508,136.1507,1,1,
"Clark, Mr. Walter Miller",male,27,1st,C,United States,13508,136.1507,0,1,
"Cleaver, Miss. Alice Catherine",female,22,1st,S,England,113781,151.16,1,1,
"Clifford, Mr. George Quincy",male,40,1st,S,United States,110465,52,0,1,
"Coelho, Mr. Domingos Fernandeo",male,20,3rd,S,,3101307,7.01,0,3,
"Cohen, Mr. Gurshon",male,18,3rd,S,England,3540,8.01,1,3,
"Colbert, Mr. Patrick",male,24,3rd,Q,Ireland,371109,7.05,0,3,
"Coleff, Mr. Satio",male,24,3rd,S,Bulgaria,349209,7.1711,0,3,
"Coleridge, Mr. Reginald Charles",male,29,2nd,S,England,14263,10.1,0,2,
"Collander, Mr. Erik Gustaf",male,27,2nd,S,Finland,248740,13,0,2,
"Collett, Mr. Sidney Clarence Stuart",male,25,2nd,S,England,28034,10.1,1,2,
"Colley, Mr. Edward Pomeroy",male,37,1st,S,Ireland,5727,25.1109,0,1,
"Collyer, Miss. Marjorie Lottie",female,8,2nd,S,England,31921,26.05,1,2,
"Collyer, Mr. Harvey",male,31,2nd,S,England,31921,26.05,0,2,
"Collyer, Mrs. Charlotte Caroline",female,30,2nd,S,England,31921,26.05,1,2,
"Coltcheff, Mr. Peju",male,36,3rd,S,Bulgaria,349210,7.1711,0,3,
"Compton, Miss. Sara Rebecca",female,39,1st,C,United States,17756,83.0302,1,1,
"Compton, Mr. Alexander Taylor jr",male,37,1st,C,United States,17756,83.0302,0,1,
"Compton, Mrs. Mary Eliza",female,64,1st,C,United States,17756,83.0302,1,1,
"Conlin, Mr. Thomas Henry",male,31,3rd,Q,United States,21332,7.1408,0,3,
"Connaughton, Mr. Michael",male,40,3rd,Q,Ireland,335097,7.15,0,3,
"Connolly, Miss. Catherine",female,23,3rd,Q,Ireland,370373,7.15,1,3,
"Connolly, Miss. Kate",female,41,3rd,Q,Ireland,330972,7.1207,0,3,
"Connors, Mr. Patrick",male,66,3rd,Q,Ireland,370369,7.15,0,3,
"Cook, Mr. Jacob",male,43,3rd,S,,3536,8.01,0,3,
"Cook, Mrs. Selena",female,22,2nd,S,England,14266,10.1,1,2,
"Corbett, Mrs. Irene",female,30,2nd,S,United States,237249,13,0,2,
"Corey, Mrs. Mary Emma",female,32,2nd,S,,13534,21,0,2,
"Cor, Mr. Bartol",male,35,3rd,S,Croatia (Modern),349230,7.1711,0,3,
"Cor, Mr. Ivan",male,27,3rd,S,Hungary,349229,7.1711,0,3,
"Cor, Mr. Liudevit",male,19,3rd,S,Hungary,349231,7.1711,0,3,
"Cornblatt, Mr. Harris",male,30,3rd,S,Poland,392090,8.01,0,3,
"Cornell, Mrs. Malvina Helen",female,55,1st,S,United States,11770,25.141,1,1,
"Corr, Miss. Ellen",female,16,3rd,Q,Ireland,367231,7.15,1,3,
"Cotterill, Mr. Henry",male,21,2nd,S,England,29107,11.1,0,2,
"Coutts, Master. Neville Leslie",male,3,3rd,S,England,37671,15.18,1,3,
"Coutts, Master. William Loch",male,9,3rd,S,England,37671,15.18,1,3,
"Coutts, Mrs. Winnie",female,36,3rd,S,England,37671,15.18,1,3,
"Coxon, Mr. Daniel",male,58,3rd,S,England,364500,7.05,0,3,
"Crafton, Mr. John Bertram",male,59,1st,S,United States,113791,26.11,0,1,
"Crease, Mr. Ernest James",male,20,3rd,S,United States,3464,8.0302,0,3,
"Cribb, Miss. Laura Mae",female,16,3rd,S,United States,371362,16.02,1,3,
"Cribb, Mr. John Hatfield",male,43,3rd,S,Australia,371362,16.02,0,3,
"Crosby, Captain. Edward Gifford",male,70,1st,S,United States,5735,71,0,1,
"Crosby, Miss. Harriette Rebecca",female,39,1st,S,United States,112901,26.11,1,1,
"Crosby, Mrs. Catherine Elizabeth",female,64,1st,S,United States,5735,71,1,1,
"Culumovic, Mr. Jeso",male,17,3rd,S,Croatia (Modern),315090,8.1303,0,3,
"Cumings, Mr. John Bradley",male,39,1st,C,United States,17599,71.0508,0,1,
"Cumings, Mrs. Florence Briggs",female,35,1st,C,Peru,17599,71.0508,1,1,
"Cunningham, Mr. Alfred Fleming",male,22,2nd,B,Northern Ireland,239853,,0,2,
"Daher, Mr. Tannous",male,28,3rd,C,,2686,7.0407,0,3,
"Dahlberg, Miss. Gerda Ulrika",female,22,3rd,S,Sweden,7552,10.1004,0,3,
"Dahl, Mr. Charles Edward",male,45,3rd,S,,7598,8.01,1,3,
"Dakic, Mr. Branko",male,19,3rd,S,,349228,10.0305,0,3,
"Daly, Miss. Margaret Marcella",female,33,3rd,Q,Ireland,382650,6.19,1,3,
"Daly, Mr. Eugene Patrick",male,29,3rd,Q,Ireland,382651,7.15,1,3,
"Daly, Mr. Peter Dennis",male,51,1st,S,England,113055,26.11,1,1,
"Danbom, Master. Gilbert Sigvard Emanuel",male,0.333333333,3rd,S,Sweden,347080,14.08,0,3,
"Danbom, Mr. Ernst Gilbert",male,34,3rd,S,Sweden,347080,14.08,0,3,
"Danbom, Mrs. Anna Sigrid Maria",female,28,3rd,S,Sweden,347080,14.08,0,3,
"Daniel, Mr. Robert Williams",male,27,1st,S,United States,113804,30.1,1,1,
"Daniels, Miss. Sarah Rebecca",female,36,1st,S,England,113781,151.16,1,1,
"Danoff, Mr. Yoto",male,27,3rd,S,,349219,7.1711,0,3,
"Davidson, Mrs. Orian",female,27,1st,C,Canada,12750,52,1,1,
"Davidson, Mr. Thornton",male,31,1st,C,Canada,12750,52,0,1,
"Davies, Master. John Morgan jr",male,8,2nd,S,England,33112,36.15,1,2,
"Davies, Mr. Alfred James",male,24,3rd,S,England,48871,24.03,0,3,
"Davies, Mr. Charles Henry",male,19,2nd,S,England,14879,73.1,0,2,
"Davies, Mr. Evan Lewis",male,22,3rd,S,Wales,23568,8.01,0,3,
"Davies, Mr. John",male,22,3rd,S,England,48871,24.03,0,3,
"Davies, Mr. Joseph",male,17,3rd,S,England,48873,8.01,0,3,
"Davies, Mrs. Agnes",female,48,2nd,S,England,33112,36.15,1,2,
"Davis, Miss. Mary Ann Charlotte",female,28,2nd,S,England,237668,13,1,2,
"Davison, Mrs. Mary Elizabeth",female,34,3rd,S,England,386525,16.02,1,3,
"Davison, Mr. Thomas Henry",male,32,3rd,S,England,386525,16.02,0,3,
"Deacon, Mr. Percy William",male,18,2nd,S,England,14879,73.1,0,2,
"Dean, Master. Bertram Vere",male,1,3rd,S,England,2315,20.1106,1,3,
"Dean, Miss. Elizabeth Gladys 'Millvina'",female,0.166666667,3rd,S,England,2315,20.1106,1,3,
"Dean, Mr. Bertram Frank",male,25,3rd,S,England,2315,20.1106,0,3,
"Dean, Mrs. Eva Georgetta",female,32,3rd,S,England,2315,20.1106,1,3,
"Delalic, Mr. Redjo",male,25,3rd,S,Bosnia,349250,7.1711,0,3,
"Del Carlo, Mrs. Argene",female,24,2nd,C,Italy,2167,27.1405,1,2,
"Del Carlo, Mr. Sebastiano",male,29,2nd,C,Italy,2167,27.1405,0,2,
"De Messemaeker, Mr. Guillaume Joseph",male,36,3rd,S,United States,345572,17.08,1,3,
"De Messemaeker, Mrs. Anna",female,36,3rd,S,United States,345572,17.08,1,3,
